d01,#genre#
d0374,http://38.64.72.148/hls/modn/list/4374/chunklist1.m3u8
d0375,http://38.64.72.148/hls/modn/list/4375/chunklist1.m3u8
d0376,http://38.64.72.148/hls/modn/list/4376/chunklist1.m3u8
d0377,http://38.64.72.148/hls/modn/list/4377/chunklist1.m3u8
d0378,http://38.64.72.148/hls/modn/list/4378/chunklist1.m3u8
d0379,http://38.64.72.148/hls/modn/list/4379/chunklist1.m3u8
d0380,http://38.64.72.148/hls/modn/list/4380/chunklist1.m3u8
d0381,http://38.64.72.148/hls/modn/list/4381/chunklist1.m3u8
d0382,http://38.64.72.148/hls/modn/list/4382/chunklist1.m3u8
d0383,http://38.64.72.148/hls/modn/list/4383/chunklist1.m3u8
d0384,http://38.64.72.148/hls/modn/list/4384/chunklist1.m3u8
d0385,http://38.64.72.148/hls/modn/list/4385/chunklist1.m3u8
d0386,http://38.64.72.148/hls/modn/list/4386/chunklist1.m3u8
d0387,http://38.64.72.148/hls/modn/list/4387/chunklist1.m3u8
